layer,relation,player_id,start_date,end_date,unique_dates,span_days,unobserved_span_days
silver,training_sessions,TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,2021-08-03,2021-12-29,69,149,80
silver,training_sessions,TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,2020-03-17,2021-07-24,396,495,99
silver,training_sessions,TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,2020-03-20,2021-10-28,254,588,334
silver,training_sessions,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,2020-03-20,2021-12-31,544,652,108
silver,training_sessions,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2020-06-22,2021-12-31,330,558,228
silver,training_sessions,TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,2021-08-30,2021-11-12,53,75,22
silver,training_sessions,TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,2020-07-20,2021-11-08,200,477,277
silver,training_sessions,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,2020-01-09,2021-11-03,363,665,302
silver,training_sessions,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,2020-01-13,2021-10-17,315,644,329
silver,training_sessions,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-02-17,2021-11-12,390,635,245
silver,training_sessions,TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,2021-02-12,2021-10-06,60,237,177
silver,training_sessions,TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,2020-01-09,2021-11-11,85,673,588
silver,training_sessions,TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,2021-07-07,2021-11-03,32,120,88
silver,training_sessions,TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,2021-01-11,2021-08-21,95,223,128
silver,training_sessions,TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,2021-08-10,2021-11-10,56,93,37
silver,training_sessions,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-01-09,2021-10-29,379,660,281
silver,training_sessions,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-01-09,2021-11-10,387,672,285
silver,training_sessions,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,2020-01-21,2021-11-04,86,654,568
silver,training_sessions,TeamB-7d41e602-eece-328b-ff7b-118e820865d6,2021-01-11,2021-11-15,265,309,44
silver,training_sessions,TeamB-9c845827-99f9-47f4-977d-2200a107a013,2020-10-01,2021-03-11,8,162,154
silver,training_sessions,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,2020-01-23,2021-01-22,108,366,258
silver,training_sessions,TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,2020-02-03,2021-10-16,295,622,327
silver,training_sessions,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2020-02-20,2021-12-27,345,677,332
silver,training_sessions,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-01-09,2021-11-10,450,672,222
silver,training_sessions,TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,2021-01-17,2021-08-28,45,224,179
silver,training_sessions,TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,2021-06-03,2021-11-12,22,163,141
silver,training_sessions,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2020-01-14,2021-11-12,488,669,181
silver,training_sessions,TeamB-f67673c0-d467-4832-9519-55133a2647e5,2020-02-01,2021-11-12,68,651,583
silver,wellness_daily,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-4051bba7-1170-4c43-b912-8c38815a7625,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-67961019-dbb5-464b-839e-08e5896c2c42,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-74afe68c-f348-414c-9754-6d6f9df12587,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-b58af410-da77-479e-b93c-e03617b9f36d,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-7d41e602-eece-328b-ff7b-118e820865d6,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-9c845827-99f9-47f4-977d-2200a107a013,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,2020-01-01,2021-12-31,731,731,0
silver,wellness_daily,TeamB-f67673c0-d467-4832-9519-55133a2647e5,2020-01-01,2021-12-31,731,731,0
