player_id,team_id,heldout_player_days,heldout_positive_player_days,development_training_player_days,protocol_role,performance_inspected
TeamA-4051bba7-1170-4c43-b912-8c38815a7625,TeamA,438,93,24967,stress_test_only,false
TeamA-3e5f6e2b-46b7-4890-84a9-3bbb2649af5a,TeamA,482,57,24923,stress_test_only,false
TeamA-5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,TeamA,458,36,24947,stress_test_only,false
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,TeamA,502,24,24903,stress_test_only,false
TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,TeamA,501,22,24904,stress_test_only,false
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,TeamA,509,21,24896,stress_test_only,false
TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,TeamA,509,14,24896,stress_test_only,false
TeamA-74afe68c-f348-414c-9754-6d6f9df12587,TeamA,509,14,24896,stress_test_only,false
TeamA-affd6f1d-b364-4700-98bf-8f20896e5ac4,TeamA,511,7,24894,stress_test_only,false
TeamA-82a0cc6a-a398-4c89-b5fb-34bc4b53dbea,TeamA,511,7,24894,stress_test_only,false
TeamA-b58af410-da77-479e-b93c-e03617b9f36d,TeamA,511,7,24894,stress_test_only,false
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,TeamB,508,6,24897,stress_test_only,false
TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,TeamA,512,0,24893,stress_test_only,false
TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,TeamB,512,0,24893,stress_test_only,false
TeamB-7d41e602-eece-328b-ff7b-118e820865d6,TeamB,512,0,24893,stress_test_only,false
TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,TeamA,512,0,24893,stress_test_only,false
TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,TeamA,512,0,24893,stress_test_only,false
TeamB-9c845827-99f9-47f4-977d-2200a107a013,TeamB,512,0,24893,stress_test_only,false
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,TeamB,512,0,24893,stress_test_only,false
TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,TeamB,512,0,24893,stress_test_only,false
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,TeamB,512,0,24893,stress_test_only,false
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,TeamB,512,0,24893,stress_test_only,false
TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,TeamA,512,0,24893,stress_test_only,false
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,TeamB,512,0,24893,stress_test_only,false
TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,TeamA,512,0,24893,stress_test_only,false
TeamB-5a921187-19c7-8df4-8f4f-f31e78de5857,TeamB,512,0,24893,stress_test_only,false
TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,TeamA,512,0,24893,stress_test_only,false
TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,TeamA,512,0,24893,stress_test_only,false
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,TeamB,512,0,24893,stress_test_only,false
TeamB-f67673c0-d467-4832-9519-55133a2647e5,TeamB,512,0,24893,stress_test_only,false
TeamB-789547e7-1325-4153-a98d-5ecd497f3668,TeamB,512,0,24893,stress_test_only,false
TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,TeamA,512,0,24893,stress_test_only,false
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,TeamA,512,0,24893,stress_test_only,false
TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,TeamB,512,0,24893,stress_test_only,false
TeamA-67961019-dbb5-464b-839e-08e5896c2c42,TeamA,512,0,24893,stress_test_only,false
TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,TeamA,512,0,24893,stress_test_only,false
TeamB-e4321aef-964a-4fdd-88bd-0bd548b0e93b,TeamB,512,0,24893,stress_test_only,false
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,TeamB,512,0,24893,stress_test_only,false
TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,TeamA,512,0,24893,stress_test_only,false
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,TeamB,512,0,24893,stress_test_only,false
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,TeamB,512,0,24893,stress_test_only,false
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,TeamB,512,0,24893,stress_test_only,false
TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,TeamA,512,0,24893,stress_test_only,false
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,TeamB,512,0,24893,stress_test_only,false
TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,TeamA,512,0,24893,stress_test_only,false
TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,TeamB,512,0,24893,stress_test_only,false
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,TeamA,512,0,24893,stress_test_only,false
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,TeamB,512,0,24893,stress_test_only,false
TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,TeamA,512,0,24893,stress_test_only,false
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,TeamB,512,0,24893,stress_test_only,false
